,id,rating,predicted_rating,context_time,movie_id,learner_id,movie_knowledge_area,level_of_education,level_of_english,level_of_literature,level_of_history,level_of_biology,level_of_physics,level_of_math,learning_goal,learning_style
194,4190,5,9.4744,2017-12-05 16:15:18.82498+00,133,12,BL,MT,ML,ML,ML,ML,LL,ML,STL,GLB
195,4217,5,6.521612999999999,2017-12-05 16:15:18.345466+00,160,12,BL,MT,ML,ML,ML,ML,LL,ML,STL,GLB
196,4194,5,10.9705,2017-12-05 16:15:18.76914+00,137,12,HT,MT,ML,ML,ML,ML,LL,ML,STL,GLB
197,4222,5,8.811867,2017-12-05 16:15:18.404665+00,165,12,HT,MT,ML,ML,ML,ML,LL,ML,STL,GLB
198,4214,5,13.052109,2017-12-05 16:15:18.835601+00,157,12,,MT,ML,ML,ML,ML,LL,ML,STL,GLB
199,4106,5,8.683255,2017-12-05 16:15:18.283683+00,48,12,LT,MT,ML,ML,ML,ML,LL,ML,STL,GLB
200,4153,5,8.063469,2017-12-05 16:15:18.788159+00,96,12,,MT,ML,ML,ML,ML,LL,ML,STL,GLB
201,4108,5,5.481706,2017-12-05 16:15:18.467304+00,50,12,EN,MT,ML,ML,ML,ML,LL,ML,STL,GLB
202,4123,5,15.319206,2017-12-05 16:15:18.932623+00,65,12,PH,MT,ML,ML,ML,ML,LL,ML,STL,GLB
203,4213,5,9.219602,2017-12-05 16:15:18.843922+00,156,12,,MT,ML,ML,ML,ML,LL,ML,STL,GLB
204,4226,5,9.658548,2017-12-05 16:15:18.42109+00,169,12,LT,MT,ML,ML,ML,ML,LL,ML,STL,GLB
205,4205,5,14.468292000000002,2017-12-05 16:15:18.431212+00,148,12,BL,MT,ML,ML,ML,ML,LL,ML,STL,GLB
206,4141,5,7.097856,2017-12-05 16:15:18.255537+00,84,12,MT,MT,ML,ML,ML,ML,LL,ML,STL,GLB
207,4272,5,17.371094,2017-12-05 16:15:18.863883+00,215,12,BL,MT,ML,ML,ML,ML,LL,ML,STL,GLB
208,4294,5,11.801761,2017-12-05 16:15:18.883684+00,237,12,,MT,ML,ML,ML,ML,LL,ML,STL,GLB
209,4336,5,9.781105,2017-12-05 16:15:18.449396+00,280,12,PH,MT,ML,ML,ML,ML,LL,ML,STL,GLB
