id,rating,predicted_rating,context_time,movie_id,learner_id
5039,5,33.947106,2017-12-06 13:00:27.259517+00,173,14
4986,5,35.508378,2017-12-06 13:03:37.02503+00,120,14
5085,5,35.016676,2017-12-06 13:03:37.156763+00,219,14
5029,1,35.1179,2017-12-06 13:03:37.099558+00,163,14
5003,5,27.653268,2017-12-06 13:00:27.33677+00,137,14
5009,4,33.427968,2017-12-06 13:03:37.12917+00,143,14
5027,5,23.619279,2017-12-06 13:00:27.308135+00,161,14
4990,2,23.561784,2017-12-06 13:00:27.228382+00,124,14
5134,4,28.876832,2017-12-06 13:00:27.237856+00,268,14
5163,1,26.924131,2017-12-06 13:00:27.298299+00,297,14
5164,5,35.721944,2017-12-06 13:03:37.138103+00,298,14
5184,2,33.871385,2017-12-06 13:03:37.110015+00,318,14
5219,3,20.891306,2017-12-06 13:00:27.357927+00,353,14
5140,2,39.493942,2017-12-06 13:03:37.119621+00,274,14
5121,4,16.882124,2017-12-06 13:00:27.21776+00,255,14
5204,4,29.862645,2017-12-06 13:00:27.207627+00,338,14
5283,3,,2017-12-06 13:32:18.338691+00,401,16
5284,2,,2017-12-06 13:32:18.353648+00,33,16
4882,4,16.95705,2017-12-06 13:00:27.197382+00,15,14
5242,2,28.957328,2017-12-06 13:00:27.270665+00,377,14
5022,3,27.818831,2017-12-06 13:00:27.347636+00,156,14
4958,3,20.145771,2017-12-06 13:00:27.368768+00,92,14
5226,4,34.148581,2017-12-06 13:03:37.035425+00,360,14
5247,4,34.383971,2017-12-06 13:03:37.054214+00,382,14
5248,5,32.822919,2017-12-06 13:03:37.071806+00,383,14
5161,2,37.521922,2017-12-06 13:03:37.080637+00,295,14
5271,5,,2017-12-06 13:32:18.157177+00,15,16
5272,2,,2017-12-06 13:32:18.173449+00,6,16
5273,2,,2017-12-06 13:32:18.189616+00,367,16
5274,5,,2017-12-06 13:32:18.2051+00,208,16
5275,2,,2017-12-06 13:32:18.220664+00,188,16
5276,1,,2017-12-06 13:32:18.235655+00,9,16
5277,5,,2017-12-06 13:32:18.249996+00,299,16
5278,2,,2017-12-06 13:32:18.264637+00,269,16
5279,1,,2017-12-06 13:32:18.279746+00,149,16
5280,4,,2017-12-06 13:32:18.294347+00,304,16
5281,1,,2017-12-06 13:32:18.309861+00,281,16
5282,1,,2017-12-06 13:32:18.324728+00,185,16
5285,2,,2017-12-06 13:32:18.368244+00,142,16
5286,1,,2017-12-06 13:32:18.382079+00,27,16
5287,1,,2017-12-06 13:32:18.396769+00,157,16
5288,3,,2017-12-06 13:32:18.410727+00,290,16
5289,2,,2017-12-06 13:32:18.424734+00,270,16
5290,3,,2017-12-06 13:32:18.439495+00,327,16
5318,3,6.080433,2017-12-06 13:40:01.824986+00,32,16
5314,3,4.688636,2017-12-06 13:40:01.6855+00,28,16
5332,1,5.167896,2017-12-06 13:40:01.77662+00,47,16
5329,3,7.13367,2017-12-06 13:40:01.78953+00,44,16
5321,4,4.229055,2017-12-06 13:40:01.853253+00,36,16
5316,5,1.047931,2017-12-06 13:40:01.83654+00,30,16
5310,4,2.472082,2017-12-06 13:40:01.808908+00,23,16
5311,4,2.574103,2017-12-06 13:40:01.337637+00,24,16
5336,1,4.909449,2017-12-06 13:40:01.326692+00,51,16
5347,1,5.631736,2017-12-06 13:40:01.666415+00,62,16
5469,1,5.267372,2017-12-06 13:40:01.695947+00,189,16
5431,4,4.686635,2017-12-06 13:40:01.980216+00,147,16
5354,2,4.145653,2017-12-06 13:40:01.731375+00,69,16
5462,2,2.438954,2017-12-06 13:40:01.757308+00,180,16
5440,3,3.986562,2017-12-06 13:40:01.406453+00,158,16
5458,5,1.039461,2017-12-06 13:40:01.627944+00,176,16
5403,2,6.460705,2017-12-06 13:40:01.284618+00,118,16
5455,3,2.446184,2017-12-06 13:40:01.305679+00,173,16
5391,4,4.024772,2017-12-06 13:40:01.532157+00,106,16
5418,5,5.184082,2017-12-06 13:40:01.48907+00,133,16
5345,2,4.752662,2017-12-06 13:40:01.644664+00,60,16
5350,5,0.721902,2017-12-06 13:40:01.968014+00,65,16
5356,4,4.733262,2017-12-06 13:40:01.316346+00,71,16
5454,4,0.719346,2017-12-06 13:40:01.87492+00,172,16
5397,2,6.111056,2017-12-06 13:40:01.243818+00,112,16
5561,2,5.070022,2017-12-06 13:40:01.347275+00,285,16
5571,2,6.622906,2017-12-06 13:40:01.890986+00,296,16
5537,4,4.250188,2017-12-06 13:40:01.581644+00,258,16
5530,4,3.850594,2017-12-06 13:40:01.253722+00,251,16
5477,2,4.688098,2017-12-06 13:40:01.294836+00,197,16
5577,5,6.680826,2017-12-06 13:40:01.905379+00,303,16
5545,5,6.239507,2017-12-06 13:40:01.50513+00,266,16
5518,3,5.719813,2017-12-06 13:40:01.544878+00,239,16
5552,2,5.162985,2017-12-06 13:40:01.954769+00,275,16
5539,2,4.903698,2017-12-06 13:40:01.466807+00,260,16
5557,4,4.09396,2017-12-06 13:40:01.439973+00,280,16
5576,5,4.130335,2017-12-06 13:40:01.357861+00,302,16
5553,3,0.705554,2017-12-06 13:40:01.937423+00,276,16
5567,3,5.469041,2017-12-06 13:40:01.920742+00,292,16
5583,4,5.086097,2017-12-06 13:40:01.379498+00,310,16
5558,2,4.16726,2017-12-06 13:40:01.428243+00,282,16
5520,2,2.508186,2017-12-06 13:40:01.233697+00,241,16
5683,4,,2017-12-06 13:52:38.019589+00,108,17
5684,4,,2017-12-06 13:52:38.034448+00,167,17
5685,2,,2017-12-06 13:52:38.048933+00,159,17
5686,4,,2017-12-06 13:52:38.063001+00,65,17
5687,5,,2017-12-06 13:52:38.077247+00,176,17
5666,1,5.320866,2017-12-06 13:40:01.264909+00,395,16
5612,2,1.173431,2017-12-06 13:40:01.27545+00,340,16
5584,1,4.18301,2017-12-06 13:40:01.368417+00,311,16
5441,4,6.398741,2017-12-06 13:40:01.396396+00,159,16
5631,5,4.692478,2017-12-06 13:40:01.417058+00,359,16
5627,4,0.585853,2017-12-06 13:40:01.452948+00,355,16
5672,3,6.534476,2017-12-06 13:40:01.47812+00,402,16
5615,1,6.009778,2017-12-06 13:40:01.516956+00,343,16
5660,3,4.449769,2017-12-06 13:40:01.562399+00,389,16
5508,3,5.577181,2017-12-06 13:40:01.596089+00,229,16
5655,5,4.227568,2017-12-06 13:40:01.613362+00,384,16
5604,1,4.204662,2017-12-06 13:40:01.70791+00,332,16
5353,3,2.714585,2017-12-06 13:40:01.719248+00,68,16
5313,4,5.459808,2017-12-06 13:40:01.743211+00,26,16
5676,3,,2017-12-06 13:52:37.912072+00,241,17
5677,3,,2017-12-06 13:52:37.927991+00,307,17
5678,4,,2017-12-06 13:52:37.943037+00,387,17
5679,1,,2017-12-06 13:52:37.958041+00,222,17
